,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,LT.NS
2019-06-20,0.23570372861405922,0.042208360703106414,0.275066499908237,0.15959109117469858,0.0,0.0,0.07476964978528708,0.21266066981461185
2019-09-23,0.13969359643563672,0.3965503556212774,0.24926531468507762,0.2144907332580078,3.8978295745875185e-16,1.3160786297811e-16,0.0,7.28936963799597e-17
2019-12-26,0.09265824746948276,0.0,0.3863851698716627,0.12927189799203234,0.0,0.0,0.26168286551565895,0.1300018191511643
2020-03-26,3.0531133177191805e-16,0.9999999999999979,0.0,0.0,6.9111383282915995e-15,3.774758283725532e-15,0.0,0.0
2020-07-01,0.0,0.4006122649431962,3.7327212087642423e-16,3.3584975708674414e-17,0.0,3.039282545893349e-16,0.599387735056804,0.0
2020-09-28,2.5175729916713305e-16,3.8780345806910494e-16,2.6615521894640264e-17,0.11216346408882029,2.129162430280368e-16,0.0,0.8878365359111797,0.0
2020-12-29,2.299808745103087e-17,0.0010775536248763499,0.0,0.9558109060249512,2.144812159412076e-16,0.0,0.043111540350172665,0.0
2021-03-31,8.544721468522896e-17,1.2853774400628032e-16,2.4725070522637083e-16,0.41862006850140565,0.1732548112107238,0.21487429227450772,0.1932508280133623,4.467779744235628e-17
2021-07-02,0.0,6.371021840244264e-17,0.11214544694903836,0.5842819530306103,3.0228488305137843e-17,0.22989677446634282,0.0011183962254480075,0.07255742932856059
2021-10-04,9.81880592457185e-17,0.12758922340700998,0.09832507214785635,0.2928929992384941,0.08331533598148874,0.2796434247665287,0.0,0.11823394445862202
2022-01-04,0.0,0.0,0.11204040145871857,0.6216514914918356,2.037724838350939e-16,0.26630810704944596,0.0,4.2690121057867663e-17
2022-04-06,3.760935829419292e-16,3.402405827324745e-16,0.06443308077428202,0.497236627203833,0.18122710465054134,0.13632868441395143,0.12077450295739176,0.0
2022-07-07,1.6304115956521376e-16,0.0,0.06043608230455485,7.650881893824343e-17,0.9319177911592994,5.4138309807307115e-17,0.007646126536145638,0.0
2022-10-10,0.0,0.0,0.23925883146815785,1.3193666643442837e-16,0.7607411685318421,0.0,4.502194115372866e-16,0.0
2023-01-09,5.273559366969494e-16,0.0,1.3877787807814457e-16,0.0,1.0,9.43689570931383e-16,1.1379786002407855e-15,0.0
2023-04-13,1.1549225772204492e-15,3.3640630620604916e-16,0.08818034284813162,0.0,0.8204235206904507,0.09139613646141788,2.437476862417922e-18,0.0
2023-07-14,0.0,0.0,0.11041073613195038,8.978353224089602e-16,0.5702852955971897,0.3193039682708593,0.0,4.1688637995980884e-16
2023-10-16,0.0,1.7688080817743201e-16,0.0,0.0,0.3516688009036877,0.5447500271427623,2.2061481331006605e-16,0.10358117195355056
2024-01-17,2.534873117237509e-16,0.0,0.0,0.0,0.3865431846580976,0.5186859486279639,0.0,0.09477086671393868
2024-04-24,0.0,1.1343500169738664e-15,0.19272268134605003,1.8553441440393717e-16,0.0,0.4326361119233986,0.2863674522469699,0.08827375448358114
2024-07-26,2.8596848738841885e-16,0.0,0.19858510409984212,0.27826041278665314,0.0,0.35133668162032916,0.0,0.17181780149317538
2024-10-25,0.0022905750792803583,0.0,0.5355888231087036,0.46212060181201586,0.0,1.5270734986508837e-16,5.964271786926946e-17,4.545956024311576e-17
